TOOL,P,Z OFFSET,DIAMETER MM,REMARK,DIAMETER IN,FLUTES,DOC,OFFSET,SHOULDER,SHANK IN,OAL,SHOULDER DIA,NOTES,IN SPINDLE
1,1,0.0,0.0,DRILL,0.0,,,,0.0,,,ER32-51,,False
2,2,102.453072,76.2,3in face,3.0,6,3.0,,102.4531,3.0,,ER32-51,,False
3,3,80.658614,0.0,,0.0,,,,80.6586,,,ER32-51,,False
4,4,0.0,0.0,,0.0,,,,0.0,,,ER32-51,,False
5,5,76.958071,50.8,2in fly,2.0,3,3.0,-25.0,76.9581,0.5,,ER20-34,,False
6,6,112.92186,12.7,1/2 END,0.5,2,30.0,-0.0,51.8477,0.5,,ER20-34,,False
7,7,0.0,0.0,,0.0,,,,0.0,,,ER20-34,,False
8,8,0.0,0.0,,0.0,,,,0.0,,,ER20-34,,False
9,9,128.196231,9.525,3/8 endU,0.375,2,30.0,-0.0,41.1972,0.375,,ER16-28,,False
10,10,146.93484,0.0,23/64 PrB,0.0,,,,146.9348,,,ER16-28,,False
11,11,0.0,6.35,1/4 endD,0.25,2,30.0,,0.0,0.25,,ER11-20,,False
12,12,108.999961,6.35,1/4 endU,0.25,2,30.0,-0.0,109.0521,0.25,,ER11-20,,True
13,13,114.755739,6.35,1/4 BALLU,0.25,2,27.0,-0.0,48.6183,0.25,,ER11-20,,False
14,14,87.538383,3.175,1/8  endU,0.125,2,12.0,-0.0,0.0,0.125,,ER11-20,,False
15,-1,0.0,0.0,,0.0,,,,0.0,,,ER32-51,,False
