accel,maxvel,reaches_maxvel,commanded_avg_deg_s,operator_verdict
30,90,yes (135 deg ramp; 90 deg cruise),72.10,NO STALL
60,90,FEED-CAPPED at 90 deg/s by F5400 - maxvel not tested,84.71,NO STALL (at ~90 deg/s)
120,180,FEED-CAPPED at 90 deg/s by F5400 - maxvel not tested,90.54,NO STALL (at ~90 deg/s)
240,360,FEED-CAPPED (F5400 then F9999) - maxvel not tested,167.64,NO STALL (at ~167 deg/s)
240,360,PARTLY - TRAJ MAX_VELOCITY 333.334 capped it,337.23,NO STALL (at ~337 deg/s)
240,540,NO - same TRAJ 333.334 cap; identical distance to the 360 run,337.25,NO STALL (at ~337 deg/s)
240,540,NO - planner held exactly 360.0 deg/s; live ini pin ignored above that,337.15,NO STALL (at 360 deg/s)
240,720,NO - planner held exactly 360.0 again; 360 is a hard ceiling (4x the ini 90),337.41,NO STALL (at 360 deg/s)
480,360,YES - genuine 360 deg/s (ramp 0.75 s),350.26,NO STALL
960,360,YES - ramp 0.38 s; essentially all cruise,362.01,NO STALL
960,360,SHORT 2deg blocks - full stop each boundary,30.73,NO STALL
1920,360,SHORT 2deg blocks,43.49,NO STALL
3840,360,SHORT 2deg blocks,61.54,NO STALL
7680,360,SHORT 2deg blocks,87.10,NO STALL
15360,360,SHORT 2deg blocks,121.21,NO STALL
30720,360,SHORT 2deg blocks,173.79,NO STALL
61440,360,SHORT 2deg blocks,235.40,STALLED
