sec,B,line
0.051,0.0145,51
0.101,0.0677,61
0.151,0.1577,61
0.202,0.2851,61
0.252,0.4501,61
0.302,0.6305,78
0.353,0.8567,78
0.403,1.1417,78
0.454,1.4212,78
0.504,1.7060,78
0.555,1.9855,78
0.605,2.2703,78
0.655,2.5499,78
0.705,2.8293,78
0.756,3.0593,78
0.806,3.3324,78
0.857,3.6112,78
0.907,3.8844,78
0.959,4.1686,78
1.009,4.4582,78
1.059,4.7314,78
1.109,5.0156,78
1.160,5.2895,78
1.210,5.5691,78
1.260,5.8429,78
1.310,6.1224,78
1.360,6.3965,78
1.410,6.6761,78
1.461,6.9553,78
1.511,7.2342,78
1.561,7.4583,78
1.611,7.7314,78
1.661,8.0103,78
1.712,8.2888,78
1.762,8.5620,78
1.812,8.8407,78
1.862,9.1142,78
1.913,9.3333,78
1.963,9.6677,78
2.013,9.9525,78
2.064,10.2264,78
2.114,10.5061,78
2.164,10.7800,78
2.214,11.0592,78
2.264,11.3380,78
2.314,11.6165,78
2.365,11.8900,78
2.415,12.1686,78
2.466,12.4472,78
2.517,12.7205,78
2.567,13.0047,78
2.617,13.2841,78
2.667,13.5088,78
2.717,13.7827,78
2.767,14.0622,78
2.818,14.3471,78
2.869,14.6433,78
2.919,14.9005,78
2.969,15.1741,78
3.019,15.4526,78
3.069,15.7314,78
3.120,16.0048,78
3.170,16.2838,78
3.220,16.5565,78
3.270,16.8353,78
3.320,17.1088,78
3.371,17.3936,78
3.421,17.6675,78
3.471,17.9471,78
3.521,18.2211,78
3.571,18.5006,78
3.621,18.7745,78
3.672,18.9992,78
3.722,19.2833,78
3.772,19.5620,78
3.823,19.8349,78
3.873,20.1139,78
3.923,20.3927,78
3.974,20.6714,78
4.024,20.9500,78
4.074,21.2239,78
4.124,21.5033,78
4.174,21.7773,78
4.225,22.0566,78
4.275,22.3307,78
4.325,22.6103,78
4.376,22.8896,78
4.426,23.1687,78
4.477,23.4418,78
4.527,23.7151,78
4.577,23.9937,78
4.628,24.2726,78
4.678,24.5511,78
4.729,24.8298,78
4.779,25.1088,78
4.829,25.3444,78
4.881,25.6237,78
4.931,25.9033,78
4.981,26.1773,78
5.031,26.4567,78
5.081,26.7362,78
5.131,27.0154,78
5.182,27.2942,78
5.232,27.5729,78
5.282,27.8462,78
5.332,28.1249,78
5.382,28.4035,78
5.432,28.6767,78
5.483,28.9118,78
5.533,29.1910,78
5.583,29.4706,78
5.633,29.7499,78
5.684,30.0293,78
5.734,30.3033,78
5.784,30.5827,78
5.834,30.8623,78
5.885,31.1413,78
5.935,31.4200,78
5.985,31.6986,78
6.035,31.9774,78
