# t_epoch pid.x.err pid.y.err pid.z.err pid.w.err joint2.ferr joint2.posfb joint4.posfb
1786041197.510 -0.01004447 0.005673331 -0.007152272 -0.01264447 -0.007152272 -423.9144 -1.522419 
1786041197.680 -0.01008038 -0.006988392 -0.009843638 -0.0126806 -0.009843638 -424.1697 -2.759949 
1786041197.851 -0.01011799 -0.01238293 -0.0101692 -0.01271799 -0.0101692 -424.5939 -4.042432 
1786041198.015 -0.01015403 -0.01105884 -0.009892187 -0.01275403 -0.009892187 -425.159 -5.287404 
1786041198.174 -0.01518977 -0.01303095 -0.009841891 -0.01278977 -0.009841891 -425.8601 -6.509936 
1786041198.345 -0.01022607 -0.01531945 -0.009257025 -0.01282607 -0.009257025 -426.7288 -7.762802 
1786041198.515 -0.0102627 -0.01558694 -0.01058963 -0.0128627 -0.01058963 -427.76 -9.030107 
1786041198.686 -0.01030028 -0.0105681 -0.01084456 -0.01290028 -0.01084456 -428.9843 -10.33482 
1786041198.846 -0.01033491 -0.008179765 -0.01032559 -0.01293491 -0.01032559 -430.2632 -11.54242 
1786041199.005 -0.01036897 -0.01182699 -0.00980059 -0.01296897 -0.00980059 -431.6627 -12.73494 
1786041199.174 -0.01040414 -0.0103382 -0.01055391 -0.01300414 -0.01055391 -433.2667 -13.98014 
1786041199.337 -0.01043955 -0.01210045 -0.01033832 -0.01303955 -0.01033832 -435.018 -15.22481 
1786041199.499 -0.01047348 -0.006759396 -0.0101971 -0.008073485 -0.0101971 -436.8557 -16.4325 
1786041199.661 -0.005507628 -0.009830806 -0.01158207 -0.008107628 -0.01158207 -438.8534 -17.6549 
1786041199.820 -0.01054071 -0.01142542 -0.01116366 -0.01314071 -0.01116366 -440.9375 -18.84737 
1786041199.977 -0.01057223 -0.0795499 0.01162482 -0.01317223 0.01162482 -443.0825 -19.99154 
1786041200.139 0.004426305 -0.0120696 0.009388243 0.006826305 0.009388243 -443.4966 -20.0449 
1786041200.304 0.009426305 0.007930403 0.009774611 0.01182631 0.009774611 -444.0503 -20.0449 
1786041200.473 0.009426305 0.0119304 0.01016098 0.01182631 0.01016098 -444.604 -20.0449 
1786041200.655 0.009426305 0.0119304 0.00944066 0.01182631 0.00944066 -445.1933 -20.0449 
1786041200.848 0.01442631 0.0119304 0.01047364 0.01682631 0.01047364 -445.841 -20.0449 
