# t_epoch pid.x.err pid.y.err pid.z.err pid.w.err joint2.ferr joint2.posfb joint4.posfb j2.blash-filt j3.blash-filt
1786042756.932 0 0 0 0 0 0 0 0 0 
1786042757.093 0 0 0 0 0 0 0 0 0 
1786042757.251 0 0 0 0 0 0 0 0 0 
1786042757.411 0 0 0 0 0 0 0 0 0 
1786042757.570 0 0 0 0 0 0 0 0 0 
1786042757.728 -0.015 -0.016 -0.01015999 -0.02 -0.01015999 0.01015999 0 0 0 
1786042757.888 -0.045 -0.052 -0.02539999 -0.05 -0.02539999 0.02539999 0 0 0 
1786042758.051 -0.04 -0.052 -0.02412999 -0.045 -0.02412999 0.02412999 0 0 0 
1786042758.209 -0.04 -0.048 -0.02412999 -0.045 -0.02412999 0.02412999 0 0 0 
1786042758.368 -0.04 -0.044 -0.02285999 -0.04 -0.02285999 0.02285999 0 0 0 
1786042758.527 -0.035 -0.044 -0.02158999 -0.04 -0.02158999 0.02158999 0 0 0 
1786042758.685 -0.035 -0.044 -0.02031999 -0.035 -0.02031999 0.02031999 0 0 0 
1786042758.845 -0.035 -0.04 -0.01904999 -0.035 -0.01904999 0.01904999 0 0 0 
1786042759.004 -0.035 -0.04 -0.01904999 -0.035 -0.01904999 0.01904999 0 0 0 
1786042759.162 -0.035 -0.04 -0.01904999 -0.035 -0.01904999 0.01904999 0 0 0 
1786042759.319 -0.035 -0.036 -0.01904999 -0.035 -0.01904999 0.01904999 0 0 0 
1786042759.478 -0.03 -0.036 -0.01777999 -0.03 -0.01777999 0.01777999 0 0 0 
1786042759.637 -0.03 -0.036 -0.01650999 -0.03 -0.01650999 0.01650999 0 0 0 
1786042759.795 -0.03 -0.032 -0.01650999 -0.03 -0.01650999 0.01650999 0 0 0 
1786042759.954 -0.03 -0.036 -0.01777999 -0.03 -0.01777999 0.01777999 0 0 0 
1786042760.119 -0.025 -0.032 -0.01523999 -0.03 -0.01523999 0.01523999 0 0 0 
1786042760.282 -0.03 -0.032 -0.01523999 -0.025 -0.01523999 0.01523999 0 0 0 
1786042760.441 -0.025 -0.028 -0.01523999 -0.025 -0.01523999 0.01523999 0 0 0 
1786042760.600 -0.02 -0.028 -0.01396999 -0.025 -0.01396999 0.01396999 0 0 0 
1786042760.759 -0.005 -0.008 -0.005079997 -0.005 -0.005079997 0.005079997 0 0 0 
1786042760.919 0.02 0.02 0.01142999 0.02 0.01142999 -0.01142999 0 0 0 
1786042761.079 0.025 0.028 0.01523999 0.025 0.01523999 -0.01523999 0 0 0 
1786042761.237 0.03 0.032 0.01650999 0.03 0.01650999 -0.01650999 0 0 0 
1786042761.395 0.03 0.036 0.01777999 0.03 0.01777999 -0.01777999 0 0 0 
1786042761.553 0.03 0.032 0.01650999 0.03 0.01650999 -0.01650999 0 0 0 
1786042761.712 0.025 0.032 0.01523999 0.03 0.01523999 -0.01523999 0 0 0 
1786042761.870 0.025 0.032 0.01523999 0.03 0.01523999 -0.01523999 0 0 0 
1786042762.028 0.03 0.032 0.01650999 0.03 0.01650999 -0.01650999 0 0 0 
1786042762.188 0.035 0.036 0.02031999 0.035 0.02031999 -0.02031999 0 0 0 
1786042762.346 0.035 0.044 0.02412999 0.04 0.02412999 -0.02412999 0 0 0 
1786042762.504 0.045 0.052 0.02666999 0.05 0.02666999 -0.02666999 0 0 0 
1786042762.662 0.045 0.056 0.02539999 0.05 0.02539999 -0.02539999 0 0 0 
1786042762.822 0.04 0.052 0.02412999 0.045 0.02412999 -0.02412999 0 0 0 
1786042762.982 0.035 0.048 0.02158999 0.04 0.02158999 -0.02158999 0 0 0 
1786042763.143 0.035 0.04 0.01904999 0.035 0.01904999 -0.01904999 0 0 0 
1786042763.302 0.03 0.032 0.01650999 0.03 0.01650999 -0.01650999 0 0 0 
1786042763.460 0.025 0.028 0.01396999 0.025 0.01396999 -0.01396999 0 0 0 
1786042763.622 0.02 0.024 0.01142999 0.02 0.01142999 -0.01142999 0 0 0 
1786042763.782 0.015 0.02 0.01015999 0.015 0.01015999 -0.01015999 0 0 0 
1786042763.943 0.015 0.016 0.008889995 0.015 0.008889995 -0.008889995 0 0 0 
1786042764.104 0.015 0.012 0.007619996 0.015 0.007619996 -0.007619996 0 0 0 
1786042764.265 0.015 0.012 0.007619996 0.01 0.007619996 -0.007619996 0 0 0 
1786042764.425 0.01 0.012 0.006349997 0.01 0.006349997 -0.006349997 0 0 0 
1786042764.585 0.01 0.008 0.006349997 0.01 0.006349997 -0.006349997 0 0 0 
1786042764.745 0.015 0.012 0.007619996 0.01 0.007619996 -0.007619996 0 0 0 
1786042764.905 0.01 0.012 0.007619996 0.01 0.007619996 -0.007619996 0 0 0 
1786042765.066 0.01 0.012 0.007619996 0.01 0.007619996 -0.007619996 0 0 0 
1786042765.229 0.015 0.012 0.008889995 0.015 0.008889995 -0.008889995 0 0 0 
1786042765.408 0.015 0.012 0.008889995 0.01 0.008889995 -0.008889995 0 0 0 
1786042765.568 0.015 0.012 0.008889995 0.015 0.008889995 -0.008889995 0 0 0 
1786042765.729 0.015 0.016 0.007619996 0.015 0.007619996 -0.007619996 0 0 0 
1786042765.890 0.01 0.012 0.007619996 0.01 0.007619996 -0.007619996 0 0 0 
1786042766.052 0.01 0.012 0.007619996 0.015 0.007619996 -0.007619996 0 0 0 
1786042766.213 0.015 0.016 0.008889995 0.015 0.008889995 -0.008889995 0 0 0 
1786042766.371 0.015 0.012 0.007619996 0.015 0.007619996 -0.007619996 0 0 0 
1786042766.531 0.015 0.016 0.008889995 0.015 0.008889995 -0.008889995 0 0 0 
1786042766.711 0.015 0.016 0.008889995 0.015 0.008889995 -0.008889995 0 0 0 
1786042766.871 0.015 0.016 0.01015999 0.015 0.01015999 -0.01015999 0 0 0 
1786042767.033 0.015 0.016 0.008889995 0.015 0.008889995 -0.008889995 0 0 0 
1786042767.192 0.015 0.016 0.01015999 0.02 0.01015999 -0.01015999 0 0 0 
1786042767.380 0.015 0.016 0.008889995 0.015 0.008889995 -0.008889995 0 0 0 
1786042767.559 0.01 0.016 0.008889995 0.015 0.008889995 -0.008889995 0 0 0 
1786042767.747 0.015 0.016 0.01015999 0.02 0.01015999 -0.01015999 0 0 0 
1786042767.915 0.015 0.02 0.01015999 0.02 0.01015999 -0.01015999 0 0 0 
1786042768.088 0.015 0.02 0.01015999 0.02 0.01015999 -0.01015999 0 0 0 
1786042768.250 0.015 0.016 0.008889995 0.015 0.008889995 -0.008889995 0 0 0 
1786042768.417 0.015 0.02 0.008889995 0.015 0.008889995 -0.008889995 0 0 0 
1786042768.602 0.015 0.016 0.008889995 0.015 0.008889995 -0.008889995 0 0 0 
1786042768.785 0.015 0.016 0.008889995 0.015 0.008889995 -0.008889995 0 0 0 
1786042768.961 0.01 0.012 0.008889995 0.015 0.008889995 -0.008889995 0 0 0 
1786042769.136 0.01 0.012 0.007619996 0.015 0.007619996 -0.007619996 0 0 0 
1786042769.308 0.01 0.012 0.007619996 0.01 0.007619996 -0.007619996 0 0 0 
1786042769.470 0.01 0.012 0.008889995 0.01 0.008889995 -0.008889995 0 0 0 
1786042769.630 0.01 0.012 0.007619996 0.01 0.007619996 -0.007619996 0 0 0 
1786042769.799 0.01 0.008 0.006349997 0.0074 0.006349997 -0.006349997 0 0 -0.0126 
1786042769.981 0.005 0.008 0.005079997 0.0074 0.005079997 -0.005079997 0 0 -0.0126 
1786042770.165 0.005 0.004 0.005079997 0.0024 0.005079997 -0.005079997 0 0 -0.0126 
1786042770.333 0.005 0.004 0.005079997 0.0024 0.005079997 -0.005079997 0 0 -0.0126 
1786042770.491 0.005 0.004 0.005079997 0.0024 0.005079997 -0.005079997 0 0 -0.0126 
1786042770.651 0.005 0.004 0.003809998 -0.0026 0.003809998 -0.003809998 0 0 -0.0126 
1786042770.823 0.005 0.004 0.002539999 -0.0026 0.002539999 -423.8062 0 0 -0.0126 
1786042770.990 -5.1157e-15 -3.819861e-14 0.001269999 -0.0076 0.001269999 -423.805 0 0 -0.0126 
1786042771.163 -5.1157e-15 -3.819861e-14 2.201494e-14 -0.0076 0 -423.8037 0 0 -0.0126 
1786042771.338 -5.1157e-15 -3.819861e-14 -0.001269999 -0.0026 -0.001269999 -423.8024 0 0 -0.0126 
1786042771.538 -5.1157e-15 -3.819861e-14 -0.001269999 -0.0026 -0.001269999 -423.8024 0 0 -0.0126 
1786042771.725 -5.1157e-15 -3.819861e-14 -0.001269999 -0.0026 -0.001269999 -423.8024 0 0 -0.0126 
1786042771.895 0.005 -0.004 2.201494e-14 0.0024 0 -423.8037 0 0 -0.0126 
1786042772.062 0.005 -3.819861e-14 0.001269999 0.0074 0.001269999 -423.805 0 0 -0.0126 
1786042772.226 0.005 -3.819861e-14 0.002539999 0.0074 0.002539999 -423.8062 0 0 -0.0126 
1786042772.387 0.01 -3.819861e-14 0.005079997 0.0074 0.005079997 -423.8088 0 0 -0.0126 
1786042772.547 0.005 0.004 0.006349997 0.0024 0.006349997 -423.81 0 0 -0.0126 
1786042772.715 0.01 0.008 0.006349997 0.0074 0.006349997 -423.81 0 0 -0.0126 
1786042772.897 0.01 0.008 0.006349997 0.0074 0.006349997 -423.81 0 0 -0.0126 
1786042773.059 0.01 0.008 0.006349997 0.0074 0.006349997 -423.81 0 0 -0.0126 
1786042773.221 0.01 0.012 0.007619996 0.0124 0.007619996 -423.8113 0 0 -0.0126 
1786042773.383 0.01 0.012 0.007619996 0.0074 0.007619996 -423.8113 0 0 -0.0126 
1786042773.541 0.01 0.012 0.007619996 0.0124 0.007619996 -423.8113 0 0 -0.0126 
1786042773.700 0.01 0.012 0.008889995 0.0124 0.008889995 -423.8126 0 0 -0.0126 
1786042773.861 0.01 0.012 0.008889995 0.0124 0.008889995 -423.8126 0 0 -0.0126 
1786042774.020 0.01 0.008 0.005079997 0.0024 0.005079997 -423.8088 0 0 -0.0126 
1786042774.193 0.005 0.004 0.001269999 -0.0026 0.001269999 -423.805 0 0 -0.0126 
1786042774.353 0.005 -3.819861e-14 -0.003809998 -0.0076 -0.003809998 -423.7999 0 0 -0.0126 
1786042774.518 -5.1157e-15 -0.008 -0.007619996 -0.0076 -0.007619996 -423.7961 0 0 -0.0126 
1786042774.681 -5.1157e-15 -0.008 -0.007619996 -0.0126 -0.007619996 -423.7961 0 0 -0.0126 
