t,fe0,fe3,x,y,z,b,vel,spindle_on,spindle_rpm
0.001,-0.005000,-0.005600,-3729.3650,-1261.6280,-159.2477,48304.352,0.6350,1,5675
0.201,-0.005000,-0.005600,-3729.3650,-1261.5040,-159.2489,48314.141,0.6350,1,5675
0.403,0.000000,-0.000600,-3729.3700,-1261.3840,-159.2489,48323.644,0.6350,1,5675
0.604,0.005000,-0.000600,-3729.3750,-1261.2560,-159.2489,48333.391,0.6350,1,5675
0.804,0.005000,-0.000600,-3729.3750,-1261.1280,-159.2502,48343.182,0.6350,1,5675
1.005,0.005000,-0.005600,-3729.3750,-1261.0000,-159.2502,48352.541,0.6350,1,5675
1.206,0.005000,-0.000600,-3729.3750,-1260.8720,-159.2528,48362.380,0.6350,1,5675
1.407,0.010000,-0.000600,-3729.3800,-1260.7400,-159.2528,48372.078,0.6350,1,5675
1.607,0.005000,-0.000600,-3729.3750,-1260.6160,-159.2540,48381.342,0.6350,1,5675
1.808,0.005000,-0.000600,-3729.3750,-1260.4840,-159.2553,48391.182,0.6350,1,5675
2.009,0.005000,-0.000600,-3729.3750,-1260.3560,-159.2566,48400.925,0.6350,1,5675
2.209,0.005000,-0.000600,-3729.3750,-1260.2320,-159.2566,48410.334,0.6350,1,5675
2.410,0.005000,-0.000600,-3729.3750,-1260.1000,-159.2566,48420.317,0.6350,1,5675
2.610,0.000000,-0.000600,-3729.3700,-1259.9760,-159.2566,48429.676,0.6350,1,5675
2.811,0.000000,-0.000600,-3729.3700,-1259.8480,-159.2566,48439.469,0.6350,1,5675
3.011,0.000000,-0.000600,-3729.3700,-1259.7280,-159.2566,48448.781,0.6350,1,5675
3.213,0.000000,-0.000600,-3729.3700,-1259.6040,-159.2578,48458.572,0.6350,1,5675
3.414,0.000000,-0.005600,-3729.3700,-1259.4680,-159.2578,48468.558,0.6350,1,5675
3.615,0.000000,-0.000600,-3729.3700,-1259.3440,-159.2578,48477.869,0.6350,1,5675
