t,fe0,fe3,ex,ew,ux,uw,x,y,z,b,vel,spindle_on,spindle_rpm
0.000,-0.005000,0.004400,-0.0050000,+0.0044000,+1.067647,+0.880037,-3729.3650,-1031.6560,-159.2540,65688.701,0.6350,1,5675
0.101,-0.005000,0.004400,-0.0050000,+0.0044000,+1.067647,+0.880377,-3729.3650,-1031.5920,-159.2540,65693.598,0.6350,1,5675
0.204,-0.005000,0.004400,-0.0050000,+0.0044000,+1.067647,+0.880688,-3729.3650,-1031.5280,-159.2540,65698.493,0.6350,1,5675
0.313,-0.005000,0.004400,-0.0050000,+0.0044000,+1.067647,+0.881310,-3729.3650,-1031.4600,-159.2540,65703.966,0.6350,1,5675
0.414,-0.005000,0.009400,-0.0050000,+0.0044000,+1.067647,+0.881762,-3729.3650,-1031.4000,-159.2540,65708.477,0.6350,1,5675
0.515,-0.005000,0.004400,-0.0050000,+0.0044000,+1.067647,+0.882130,-3729.3650,-1031.3360,-159.2540,65713.375,0.6350,1,5675
0.616,-0.005000,0.004400,-0.0050000,+0.0044000,+1.067647,+0.882780,-3729.3650,-1031.2720,-159.2540,65718.221,0.6350,1,5675
0.718,-0.005000,0.004400,-0.0050000,+0.0044000,+1.067647,+0.883318,-3729.3650,-1031.2080,-159.2553,65723.116,0.6350,1,5675
0.819,-0.005000,0.004400,-0.0050000,+0.0044000,+1.067647,+0.883318,-3729.3650,-1031.1400,-159.2540,65728.061,0.6350,1,5675
0.919,-0.005000,0.004400,-0.0050000,+0.0044000,+1.067647,+0.883318,-3729.3650,-1031.0760,-159.2528,65732.908,0.6350,1,5675
1.021,-0.005000,0.004400,-0.0050000,+0.0044000,+1.067647,+0.883431,-3729.3650,-1031.0120,-159.2528,65737.710,0.6350,1,5675
1.122,-0.005000,0.004400,-0.0050000,+0.0044000,+1.067647,+0.883714,-3729.3650,-1030.9440,-159.2528,65742.653,0.6350,1,5675
1.223,-0.005000,0.004400,-0.0050000,+0.0044000,+1.067454,+0.883855,-3729.3650,-1030.8880,-159.2528,65747.167,0.6350,1,5675
1.324,-0.010000,0.004400,-0.0050000,+0.0044000,+1.066361,+0.883855,-3729.3600,-1030.8160,-159.2502,65752.256,0.6350,1,5675
1.426,-0.010000,-0.000600,-0.0050000,-0.0006000,+1.063887,+0.883855,-3729.3600,-1030.7480,-159.2477,65757.150,0.6350,1,5675
1.527,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.063308,+0.883855,-3729.3650,-1030.6800,-159.2489,65762.096,0.6350,1,5675
1.628,-0.005000,-0.000600,-0.0050000,-0.0006000,+1.063308,+0.883855,-3729.3650,-1030.6160,-159.2477,65766.701,0.6350,1,5675
1.728,-0.005000,0.004400,-0.0050000,+0.0044000,+1.063308,+0.883855,-3729.3650,-1030.5560,-159.2489,65771.646,0.6350,1,5675
1.829,-0.005000,0.004400,-0.0050000,+0.0044000,+1.063308,+0.883855,-3729.3650,-1030.4920,-159.2489,65776.301,0.6350,1,5675
1.932,-0.005000,0.004400,-0.0050000,+0.0044000,+1.063308,+0.883855,-3729.3650,-1030.4200,-159.2502,65781.725,0.6350,1,5675
2.033,0.000000,0.004400,-0.0050000,+0.0044000,+1.063308,+0.883855,-3729.3700,-1030.3640,-159.2502,65786.098,0.6350,1,5675
2.136,-0.005000,0.004400,-0.0050000,+0.0044000,+1.063308,+0.883855,-3729.3650,-1030.2960,-159.2502,65791.086,0.6350,1,5675
2.238,-0.005000,0.004400,+0.0000000,+0.0044000,+1.063308,+0.883855,-3729.3650,-1030.2320,-159.2502,65795.982,0.6350,1,5675
2.339,0.000000,0.004400,+0.0000000,+0.0044000,+1.063308,+0.883855,-3729.3700,-1030.1680,-159.2515,65800.830,0.6350,1,5675
2.440,-0.005000,0.004400,+0.0000000,+0.0044000,+1.063308,+0.883855,-3729.3650,-1030.1000,-159.2502,65805.821,0.6350,1,5675
2.541,-0.005000,0.004400,+0.0000000,+0.0044000,+1.063308,+0.883855,-3729.3650,-1030.0360,-159.2515,65810.670,0.6350,1,5675
2.643,0.000000,0.004400,+0.0000000,+0.0044000,+1.063308,+0.883855,-3729.3700,-1029.9760,-159.2515,65815.613,0.6350,1,5675
2.744,0.000000,0.004400,+0.0000000,+0.0044000,+1.063308,+0.883855,-3729.3700,-1029.9120,-159.2528,65820.460,0.6350,1,5675
2.846,0.000000,0.004400,+0.0000000,+0.0044000,+1.063308,+0.883855,-3729.3700,-1029.8480,-159.2528,65825.358,0.6350,1,5675
2.947,0.000000,0.004400,+0.0000000,+0.0044000,+1.063308,+0.883855,-3729.3700,-1029.7800,-159.2528,65830.254,0.6350,1,5675
3.048,0.000000,0.004400,+0.0000000,+0.0044000,+1.063308,+0.883855,-3729.3700,-1029.7160,-159.2528,65835.150,0.6350,1,5675
3.150,0.000000,0.004400,+0.0000000,+0.0044000,+1.063308,+0.883855,-3729.3700,-1029.6520,-159.2540,65839.997,0.6350,1,5675
3.251,0.005000,0.004400,+0.0000000,+0.0044000,+1.063308,+0.883855,-3729.3750,-1029.5880,-159.2540,65844.653,0.6350,1,5675
3.352,0.000000,0.004400,+0.0000000,+0.0044000,+1.063308,+0.883855,-3729.3700,-1029.5200,-159.2528,65849.598,0.6350,1,5675
3.455,0.000000,0.004400,+0.0050000,+0.0044000,+1.063308,+0.883855,-3729.3700,-1029.4560,-159.2528,65854.591,0.6350,1,5675
